"pais","Brasil","Canadá","China","EUA","França","GBR","Itália","Japão","África do Sul","Índia"
"Brasil","1.000000","0.437157","-0.202946","0.178130","0.454695","0.205173","0.529781","0.368202","0.344828","-0.345531"
"Canadá","0.437157","1.000000","-0.007319","0.825243","0.671292","0.547832","0.618297","0.525940","0.561385","-0.266701"
"China","-0.202946","-0.007319","1.000000","0.080015","-0.205763","0.139869","-0.386594","-0.343894","-0.043143","0.166932"
"EUA","0.178130","0.825243","0.080015","1.000000","0.566382","0.676168","0.511012","0.490534","0.260772","-0.209211"
"França","0.454695","0.671292","-0.205763","0.566382","1.000000","0.522831","0.849564","0.692863","0.518623","-0.331488"
"GBR","0.205173","0.547832","0.139869","0.676168","0.522831","1.000000","0.433032","0.359957","0.162873","-0.059806"
"Itália","0.529781","0.618297","-0.386594","0.511012","0.849564","0.433032","1.000000","0.703837","0.474597","-0.400676"
"Japão","0.368202","0.525940","-0.343894","0.490534","0.692863","0.359957","0.703837","1.000000","0.375822","-0.246882"
"África do Sul","0.344828","0.561385","-0.043143","0.260772","0.518623","0.162873","0.474597","0.375822","1.000000","-0.045365"
"Índia","-0.345531","-0.266701","0.166932","-0.209211","-0.331488","-0.059806","-0.400676","-0.246882","-0.045365","1.000000"

